specimen - institute;specimen - collection;specimen - code;mission - id;mission - originalID;specimen - family;specimen - genus;specimen - specific_epithet;unusable - cause;country - country;country - growned_plant;country - guessed;country - not_sure;country - no_info;region1 - region;region1 - guessed;region1 - not_sure;region1 - no_info;collect_date - collect_date;collect_date - not_sure;collect_date - no_info;onecollector - collector;onecollector - not_sure;onecollector - no_info;collect_number - ;collect_number - no_info;identifier - identifier;identifier - not_sure;identifier - no_info;locality - locality;locality - not_sure;locality - no_info;owner - question_1;owner - no_info;geo - position;geo - radius;geo - description;geo - not_sure;geo - no_info;betulaceae_scientific_name - scientific_name;betulaceae_scientific_name - species_name_not_in_list;betulaceae_scientific_name - genus_name_not_in_list;betulaceae_scientific_name - not_sure;betulaceae_scientific_name - no_info
B;Herbarium Berolinense;B101213305;12;9145619;BETULACEAE;indet.;sp.;;Kanada;False;;;;Quebec / Québec;;;;01/09/1912 - 30/09/1912;False;False;Victorin;;False;;True;;;True;Longueuil;False;;Roman Schulz;False;45.497392 , -73.421448;;;;False;Betula populifolia Marshall;;;;
B;Herbarium Berolinense;B101213306;12;9145619;BETULACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;Wisconsin;;;;07/07/1922 - 07/07/1922;False;False;Huron H. Smith;;False;7143;False;;;True;Southwestern Wisconsin. Fountain City. County Buffalo.;;False;;True;44.12444444444444 , -91.70944444444444;;;;False;Betula populifolia Marshall;;;;
B;Herbarium Berolinense;B101213307;12;9145619;BETULACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;Pennsylvania;;;False;05/08/1922 - 05/08/1922;False;False;Huron H. Smith;;False;8066;False;;;True;Sugar Loaf, County Columbia;False;;;True;41.291667 , -76.383056;;;;;Betula populifolia Marshall;;;;
B;Herbarium Berolinense;B101213308;12;9145619;BETULACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;Wisconsin;;;;13/07/1922 - 13/07/1922;False;False;Huron H. Smith;;;7354;;;;True;Liberty Pole. County Vernon;;False;;True;43.488525 , -90.907308;;;;;Betula populifolia Marshall;;;;
B;Herbarium Berolinense;B101213309;12;9145619;BETULACEAE;indet.;sp.;;Kanada;False;;;;Quebec / Québec;;;;01/09/1912 - 30/09/1912;False;False;Victorin;;False;;True;;;True;Longueuil;False;;;True;45.491971 , -73.423172;;;;False;Betula populifolia Marshall;;;;
B;Herbarium Berolinense;B101213310;12;9145619;BETULACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;Wisconsin;;;;08/08/1922 - 08/08/1922;False;False;Huron H. Smith;;;8152;;;;True;Ferry Bluffs. County Sauk;;False;;True;43.24120136011858 , -89.81387615203859;;;;;Betula populifolia Marshall;;;;
B;Herbarium Berolinense;B101213311;12;9145619;BETULACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;Illinois;;;;11/07/1896 - 11/07/1896;False;False;L. M. Umbach;;False;;True;;;True;Woods, Warren;False;;;True;;;;;True;Betula populifolia Aiton;;;;
B;Herbarium Berolinense;B101213312;12;9145619;BETULACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;;;;False;Wisconsin;;;False;31/07/1922 - 31/07/1922;;;Huron H. Smith;;;7859;;;;True;Southwestern Wisconsin. Grant County Platteville;False;;;True;42.73705256296228 , -90.50107955932617;;;;;Betula populifolia Marshall;;;;
B;Herbarium Berolinense;B101213313;12;9145619;BETULACEAE;indet.;sp.;;Schweden;False;;;;Skåne län;;;;01/08/1903 - 31/08/1903;False;False;Aug. Heintze;;;;True;;;True;Scania Skurup.;False;;Bothe;False;55.483333333333334 , 13.5;;;;;Betula alba subsp. verrucosa (Ehrh.) Regel;;;;
B;Herbarium Berolinense;B101213314;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;False;;;;Sachsen;;;;22/04/1916 - 22/04/1916;False;False;Fiedler;;False;393;False;;;True;Leipzig. An der Elster im Rosentale.;;False;Otto Fiedler;False;51.34999295 , 12.363226166008772;;;;False;Betula verrucosa Ehrh.;;;;
B;Herbarium Berolinense;B101213315;12;9145619;BETULACEAE;indet.;sp.;;Japan;;;;False;Nagano(長野県);;;;08/08/1952 - 08/08/1952;;;M. Togasi;;;;True;;;True;Hondo: Mt. Norikura in Shinano;;False;;True;36.10753150348405 , 137.55363907013455;;;;;Betula platyphylla var. japonica (Miq.) H.Hara;;;;
B;Herbarium Berolinense;B101213316;12;9145619;BETULACEAE;indet.;sp.;;Kanada;False;;;;Quebec / Québec;;;;16/05/1936 - 16/05/1936;False;False;Edmond Roy;;False;4221;False;;;True;Montreal: sur le Mont Royal.;False;;;True;45.505549 , -73.590539;;;;False;Betula populifolia Marshall;;;;
B;Herbarium Berolinense;B101213317;12;9145619;BETULACEAE;indet.;sp.;;Kanada;False;;;;Quebec / Québec;;;;19/07/1946 - 19/07/1946;False;False;Rolland-Germain;;False;;True;;;True;Rocky woods. Saint-Jérôme. Terrebonne County.;False;;;True;45.784760638585354 , -73.97661209106447;;;;False;Betula populifolia Marshall;;;;
B;Herbarium Berolinense;B101213318;12;9145619;BETULACEAE;indet.;sp.;;Vereinigte Staaten von Amerika;False;;;;Wisconsin;;;;29/06/1922 - 29/06/1922;False;False;Huron H. Smith;;False;6973;False;;;True;Black River Falls, County Jackson.;False;;;True;44.2952152 , -90.8484137;;;;False;Betula populifolia Marshall;;;;
B;Herbarium Berolinense;B101213319;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;True;;;;Berlin;;;;;;True;;;True;;True;;;True;Hort. Berolin.;False;;;True;;;;;True;Betula populifolia Aiton;;;;
B;Herbarium Berolinense;B101213320;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;True;;;False;Berlin;;;False;01/01/1855 - 31/12/1855;False;False;Lind. [Lindblad];;;;True;;;True;H. Ber.;;False;;True;;;;;True;Betula L.;;;;
B;Herbarium Berolinense;B101213321;12;9145619;BETULACEAE;indet.;sp.;;;False;;;True;;;;True;;;True;;;True;;True;;;True;;;True;Karl Koch;False;;;;;True;Betula populifolia Aiton;;;;
B;Herbarium Berolinense;B101213322;12;9145619;BETULACEAE;indet.;sp.;;Polen;False;;;;Dolnośląskie;;;;26/06/1901 - 26/06/1901;False;False;C. Baenitz;;False;;True;;;True;"Breslau; Scheitniger Park. 120 m.";False;;C. Baenitz;False;51.11531012277583 , 17.081208229064945;;;;False;Betula populifolia Aiton;;;;
B;Herbarium Berolinense;B101213323;12;9145619;BETULACEAE;indet.;sp.;;Polen;False;;;;Dolnośląskie;;;;08/06/1900 - 08/06/1900;False;False;C. Baenitz;;False;;True;;;True;"Silesia: Breslau [Wrocław]; Birkenwäldchen. - 120 m.";False;;C. Baenitz;False;51.10942314472288 , 17.070543766021732;;;;False;Betula populifolia Aiton;;;;
B;Herbarium Berolinense;B101213324;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;True;;;;Berlin;;;;16/05/1900 - 01/09/1900;False;False;E. Koehne;;False;;True;;;True;Arb. Späth, Baumschulenweg pr. Berol.;False;;E. Koehne;False;52.452808 , 13.471615;;;;False;Betula populifolia Aiton;;;;
B;Herbarium Berolinense;B101213325;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;True;;;;Sachsen;;;;20/08/1874 - 20/08/1874;False;False;Riese;;False;;True;;;True;Arboretum Muskau;False;;Bothe;False;51.548443371649164 , 14.72524166107178;;;;False;Betula populifolia f. laciniata (Loudon);;;;
B;Herbarium Berolinense;B101213326;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;;;;False;Niedersachsen;;;False;08/09/1875 - 08/09/1875;;;Zabel;;;;True;;;True;Gärten der Forstacademie Münden. Sämling von Bet. Nr. 10. Gesäet im April 1875.;;False;Karl Koch;False;;;;;True;Betula L.;;;;
B;Herbarium Berolinense;B101213327;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;True;;;;Thüringen;;;;28/09/1907 - 28/09/1907;False;False;J. Bornmüller;;False;4;False;;;True;"cult. in horto ""Aquarium"", Gotha";False;;J. Bornmüller;False;50.9335135921601 , 10.708558444067164;;;;False;Betula L.;;;;
B;Herbarium Berolinense;B101213328;12;9145619;BETULACEAE;indet.;sp.;;Kanada;;;;False;Quebec / Québec;;;False;01/01/1977 - 31/12/1977;;;P. Grondin, M. Melançon et L. Couillard;;;85;;E. Lepage;;;Archipel de Mingan. Comté Duplessis. Île à Samuel. Sous-sol: calcaire. Unité physionomique: Lande;;False;;True;50.2166667 , -63.75;;;;;Betula sandbergii nothovar. fernaldii Lepage;;;;
B;Herbarium Berolinense;B101213329;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;;;;False;Brandenburg;;;False;21/07/1978 - 21/07/1978;;;D. Benkert u. P. Brückner;;;;True;;;True;DDR, Kreis Senftenberg: Kleiner Fischteich am Sorgenteich bei Ruhland.;;False;;True;51.43362518928946 , 13.906159400939943;;;;;Betula L.;;;;
B;Herbarium Berolinense;B101213330;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;False;;;;Brandenburg;;;;21/07/1978 - 21/07/1978;;False;D. Benkert u. P. Brückner;;False;;True;;;True;DDR, Kreis Senftenberg: Kleiner Fischteich am Sorgenteich bei Ruhland.;False;;;True;51.431484731560424 , 13.906202316284181;;;;False;Betula L.;;;;
B;Herbarium Berolinense;B101213331;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;False;;;;Brandenburg;;;;21/07/1978 - 21/07/1978;False;False;D. Benkert u. P. Brückner;;False;;True;;;True;DDR, Kreis Senftenberg: Waldweg am Sorgenteich bei Ruhland.;False;;;True;51.434908953485966 , 13.897404670715334;;;;False;Betula L.;;;;
B;Herbarium Berolinense;B101213332;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;False;;;;Brandenburg;;;;16/06/1973 - 16/06/1973;False;False;M. B. [M. Bäßler];;False;;True;;;True;Kreis Strausberg: In den Lange-Damm-Wiesen östlich von Oshügel 7, Flachmoorrand.;False;;M. Bäßler;False;52.52329634178276 , 13.851957321166994;;;;False;Betula L.;;;;
B;Herbarium Berolinense;B101213333;12;9145619;BETULACEAE;indet.;sp.;;Polen;False;;;;Dolnośląskie;;;;01/01/1829 - 31/12/1829;;;L. C. Treviranus;;False;;True;;;True;In summitate montis Zobtenberg [Ślęża];False;;L. C. Treviranus;False;50.8640875 , 16.7074963;;;;False;Betula L.;;;;
B;Herbarium Berolinense;B101213334;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;False;;;;Brandenburg;;;;21/07/1927 - 21/07/1927;False;False;H. Bothe;;False;;True;;;True;Berlin: Schildow;False;;Bothe;;52.6355634 , 13.377057;;;;False;Betula L.;;;;
B;Herbarium Berolinense;B101213335;12;9145619;BETULACEAE;indet.;sp.;;Deutschland;False;;;;Niedersachsen;;;;25/07/1964 - 25/07/1964;False;False;H. Scholz;;False;;True;;;True;Harz: Steile Wandstr.;False;;;True;51.67661 , 10.38132;;;;False;Betula L.;;;;
B;Herbarium Berolinense;B101213336;12;9145619;BETULACEAE;indet.;sp.;;Russland;;;;False;Kabardino-Balkar republic(Кабардино-Балкарская республика);;;False;01/07/1983 - 31/07/1983;False;False;W. Hellmer;;False;;True;;;True;Sowjetunion, Kaukasus: Jusengi-Tal, 2200 m.;False;;;True;43.215198 , 42.592435;;;;;Betula L.;;;;
